,Country,CountryCode,Kind,etag,CategoryID,ChannelID,VideoCategory,Assignable
25,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rtlxd0zOixA9QHdIZB26-St5qgQ""",39,UCBR8-60-B28hp2BmDPdntcQ,Horror,False
26,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/N1TrDFLRppxZgBowCJfJCvh0Dpg""",40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,False
27,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7UMGi6zRySqXopr_rv4sZq6Za2E""",41,UCBR8-60-B28hp2BmDPdntcQ,Thriller,False
28,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RScXhi324h8usyIetreAVb-uKeM""",42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,False
29,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0n9MJVCDLpA8q7aiGVrFsuFsd0A""",43,UCBR8-60-B28hp2BmDPdntcQ,Shows,False
30,Canada,CA,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x5NxSf5fz8hn4loSN4rvhwzD_pY""",44,UCBR8-60-B28hp2BmDPdntcQ,Trailers,False
0,Germany,DE,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,True
1,Germany,DE,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,True
2,Germany,DE,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,UCBR8-60-B28hp2BmDPdntcQ,Music,True
3,Germany,DE,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals,True
4,Germany,DE,youtube#videoCategory,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,UCBR8-60-B28hp2BmDPdntcQ,Sports,True
